Date,Open,High,Low,Close,Volume
2008-07-16 00:00:00+07:00,621,728,621,716,789786000
2008-07-17 00:00:00+07:00,703,728,703,703,383602500
2008-07-18 00:00:00+07:00,679,703,679,679,95396000
2008-07-21 00:00:00+07:00,695,699,679,695,49749000
2008-07-22 00:00:00+07:00,691,699,687,691,29585500
2008-07-23 00:00:00+07:00,687,691,683,687,42075000
2008-07-24 00:00:00+07:00,674,683,666,674,74595000
2008-07-25 00:00:00+07:00,674,683,662,674,76357500
2008-07-28 00:00:00+07:00,691,695,670,691,75732500
2008-07-29 00:00:00+07:00,695,699,683,695,49173500
2008-07-31 00:00:00+07:00,699,708,695,699,42381500
2008-08-01 00:00:00+07:00,674,695,670,674,78478500
2008-08-04 00:00:00+07:00,658,674,658,658,43837000
2008-08-05 00:00:00+07:00,641,654,637,641,50244500
2008-08-06 00:00:00+07:00,637,650,637,637,48545500
2008-08-07 00:00:00+07:00,645,650,637,645,50999500
2008-08-08 00:00:00+07:00,662,662,645,662,39360500
2008-08-11 00:00:00+07:00,637,662,637,637,39079000
2008-08-12 00:00:00+07:00,625,645,625,625,38431000
2008-08-13 00:00:00+07:00,621,625,621,621,28072500
2008-08-14 00:00:00+07:00,629,637,625,629,33205000
2008-08-15 00:00:00+07:00,633,637,625,633,24960000
2008-08-19 00:00:00+07:00,616,625,616,616,25006500
2008-08-20 00:00:00+07:00,633,637,616,633,39692000
2008-08-21 00:00:00+07:00,633,637,633,633,28790500
2008-08-22 00:00:00+07:00,645,650,641,645,27394000
2008-08-25 00:00:00+07:00,637,641,629,637,29753000
2008-08-26 00:00:00+07:00,637,645,633,637,28639000
2008-08-27 00:00:00+07:00,633,637,633,633,23323500
2008-08-28 00:00:00+07:00,633,637,633,633,29418500
2008-08-29 00:00:00+07:00,637,641,633,637,26630000
2008-09-01 00:00:00+07:00,633,641,633,633,21011500
2008-09-02 00:00:00+07:00,625,629,621,625,26971500
2008-09-03 00:00:00+07:00,612,625,612,612,25662000
2008-09-04 00:00:00+07:00,616,616,608,616,20080000
2008-09-05 00:00:00+07:00,600,608,596,600,30259000
2008-09-08 00:00:00+07:00,600,612,600,600,25948000
2008-09-09 00:00:00+07:00,583,600,579,583,49851500
2008-09-10 00:00:00+07:00,583,583,554,583,35819000
2008-09-11 00:00:00+07:00,579,583,575,579,19940000
2008-09-12 00:00:00+07:00,575,579,571,575,17619500
2008-09-15 00:00:00+07:00,563,575,563,563,25371000
2008-09-16 00:00:00+07:00,546,554,513,546,44673500
2008-09-17 00:00:00+07:00,559,571,550,559,45475500
2008-09-18 00:00:00+07:00,592,592,538,592,3
2008-09-19 00:00:00+07:00,625,633,596,625,110096500
