Date,Open,High,Low,Close,Volume
2007-12-18 00:00:00+07:00,2820,3455,2820,3455,45450000
2007-12-19 00:00:00+07:00,3349,3543,3331,3349,12470000
2007-12-27 00:00:00+07:00,3270,3358,3279,3349,4807000
2007-12-28 00:00:00+07:00,3349,3358,3270,3331,1593000
2008-01-03 00:00:00+07:00,3199,3226,3182,3199,2190500
2008-01-04 00:00:00+07:00,3305,3314,3226,3305,1255000
2008-01-07 00:00:00+07:00,3666,3675,3287,3666,7813500
2008-01-08 00:00:00+07:00,3631,3790,3578,3631,4348000
2008-01-09 00:00:00+07:00,3675,3702,3578,3675,3727000
2008-01-14 00:00:00+07:00,3878,4028,3684,3878,9896000
2008-01-15 00:00:00+07:00,3878,4107,3843,3878,8141000
2008-01-16 00:00:00+07:00,3878,3913,3755,3878,9074500
2008-01-17 00:00:00+07:00,4275,4283,3896,4275,5952500
2008-01-18 00:00:00+07:00,4310,4407,4107,4310,6156000
2008-01-21 00:00:00+07:00,4028,4372,3975,4028,3929500
2008-01-22 00:00:00+07:00,3852,3852,3666,3852,13868000
2008-01-23 00:00:00+07:00,4160,4248,3913,4160,4258000
2008-01-24 00:00:00+07:00,4195,4319,4178,4195,1982000
2008-01-25 00:00:00+07:00,4451,4486,4231,4451,7085500
2008-01-28 00:00:00+07:00,4900,4945,4389,4900,6364000
2008-01-29 00:00:00+07:00,5138,5200,4936,5138,5321500
2008-01-30 00:00:00+07:00,5077,5200,4945,5077,1441500
2008-01-31 00:00:00+07:00,4989,5165,4971,4989,2901000
2008-02-01 00:00:00+07:00,4759,5077,4583,4759,3892000
2008-02-04 00:00:00+07:00,4759,5094,4751,4759,2999500
2008-02-05 00:00:00+07:00,4962,5112,4848,4962,9125000
2008-02-06 00:00:00+07:00,4962,4918,4768,4865,3140500
2008-02-11 00:00:00+07:00,4627,4865,4618,4627,2564000
2008-02-12 00:00:00+07:00,4574,4795,4363,4574,3259500
2008-02-13 00:00:00+07:00,4469,4636,4433,4469,1951000
2008-02-14 00:00:00+07:00,4724,4759,4530,4724,2813000
2008-02-15 00:00:00+07:00,4689,5033,4689,4689,5321500
2008-02-18 00:00:00+07:00,5271,5271,5024,5271,6281500
2008-02-19 00:00:00+07:00,5376,5438,5235,5376,3272500
2008-02-20 00:00:00+07:00,5130,5465,5024,5130,1994500
2008-02-21 00:00:00+07:00,5200,5288,5147,5200,1441500
2008-02-22 00:00:00+07:00,5191,5235,5112,5191,1028000
2008-02-25 00:00:00+07:00,5209,5288,5156,5209,830000
