Date,Open,High,Low,Close,Volume
2003-01-02 00:00:00+07:00,27,27,25,26,149657500
2003-01-03 00:00:00+07:00,26,26,25,26,16197500
2003-01-06 00:00:00+07:00,25,26,23,23,119477500
2003-01-07 00:00:00+07:00,25,25,23,25,17337500
2003-01-08 00:00:00+07:00,23,25,23,25,2952500
2003-01-09 00:00:00+07:00,25,25,23,23,1625000
2003-01-10 00:00:00+07:00,23,25,23,25,212500
2003-01-13 00:00:00+07:00,25,25,23,25,6285000
2003-01-14 00:00:00+07:00,25,25,23,25,5310000
2003-01-15 00:00:00+07:00,25,25,23,25,1000000
2003-01-16 00:00:00+07:00,23,25,23,25,117500
2003-01-17 00:00:00+07:00,23,25,23,25,410000
2003-01-20 00:00:00+07:00,23,25,23,25,8282500
2003-01-21 00:00:00+07:00,25,25,23,25,6342500
2003-01-22 00:00:00+07:00,23,25,23,25,125000
2003-01-23 00:00:00+07:00,25,25,23,25,13880000
2003-01-24 00:00:00+07:00,23,25,23,25,1420000
2003-01-27 00:00:00+07:00,23,25,23,25,8022500
2003-01-28 00:00:00+07:00,23,25,23,25,1840000
2003-01-29 00:00:00+07:00,23,25,23,25,1242500
2003-01-30 00:00:00+07:00,23,25,23,25,3265000
2003-01-31 00:00:00+07:00,23,25,23,25,9017500
2003-02-03 00:00:00+07:00,23,23,23,23,260000
2003-02-04 00:00:00+07:00,23,25,23,25,715000
2003-02-05 00:00:00+07:00,23,25,23,25,527500
2003-02-06 00:00:00+07:00,25,25,23,25,1037500
2003-02-07 00:00:00+07:00,23,25,23,25,362500
2003-02-10 00:00:00+07:00,23,25,23,25,8750000
2003-02-11 00:00:00+07:00,23,25,23,25,787500
2003-02-13 00:00:00+07:00,23,25,23,25,162500
2003-02-14 00:00:00+07:00,23,25,23,25,33195000
2003-02-17 00:00:00+07:00,25,25,23,25,82500
2003-02-18 00:00:00+07:00,25,25,25,25,1640000
2003-02-19 00:00:00+07:00,23,25,23,25,802500
2003-02-21 00:00:00+07:00,23,23,22,23,1450000
2003-02-24 00:00:00+07:00,23,23,22,23,147500
2003-02-25 00:00:00+07:00,23,23,23,23,2500
2003-02-26 00:00:00+07:00,22,23,22,23,252500
2003-02-27 00:00:00+07:00,22,23,22,23,355000
2003-02-28 00:00:00+07:00,21,22,21,22,710000
2003-03-04 00:00:00+07:00,21,21,21,21,5935000
2003-03-05 00:00:00+07:00,21,21,21,21,240000
2003-03-06 00:00:00+07:00,21,21,21,21,1625000
2003-03-10 00:00:00+07:00,21,21,21,21,365000
2003-03-11 00:00:00+07:00,21,21,21,21,377500
2003-03-12 00:00:00+07:00,21,21,21,21,2142500
2003-03-13 00:00:00+07:00,22,22,21,21,75000
2003-03-14 00:00:00+07:00,21,22,21,22,442500
2003-03-17 00:00:00+07:00,22,22,21,21,337500
2003-03-18 00:00:00+07:00,21,22,21,22,635000
2003-03-19 00:00:00+07:00,21,22,21,22,292500
2003-03-20 00:00:00+07:00,22,22,21,22,3090000
2003-03-21 00:00:00+07:00,22,23,22,23,10662500
2003-03-24 00:00:00+07:00,22,23,22,23,5175000
2003-03-25 00:00:00+07:00,22,23,22,23,1860000
2003-03-26 00:00:00+07:00,22,23,22,23,5287500
2003-03-27 00:00:00+07:00,22,25,22,25,10065000
2003-03-28 00:00:00+07:00,23,25,23,25,4972500
2003-03-31 00:00:00+07:00,23,26,23,25,25025000
2003-04-01 00:00:00+07:00,25,25,23,25,5995000
2003-04-03 00:00:00+07:00,25,25,23,23,2817500
2003-04-04 00:00:00+07:00,22,23,22,23,2602500
2003-04-07 00:00:00+07:00,22,23,22,23,2335000
2003-04-08 00:00:00+07:00,22,23,22,23,6012500
2003-04-09 00:00:00+07:00,22,23,22,23,10577500
2003-04-10 00:00:00+07:00,22,23,22,23,12345000
2003-04-11 00:00:00+07:00,22,23,22,23,23720000
2003-04-14 00:00:00+07:00,22,23,22,23,9387500
2003-04-15 00:00:00+07:00,22,23,22,23,4712500
2003-04-16 00:00:00+07:00,22,23,22,23,6287500
2003-04-17 00:00:00+07:00,22,23,22,23,7952500
2003-04-21 00:00:00+07:00,22,23,22,23,15030000
2003-04-22 00:00:00+07:00,22,23,22,23,2187500
2003-04-23 00:00:00+07:00,23,25,22,23,40585000
2003-04-24 00:00:00+07:00,25,25,23,25,33885000
2003-04-25 00:00:00+07:00,25,25,23,25,9420000
2003-04-28 00:00:00+07:00,23,25,23,25,3140000
2003-04-29 00:00:00+07:00,25,26,25,26,29082500
2003-04-30 00:00:00+07:00,26,26,25,26,3795000
2003-05-01 00:00:00+07:00,25,26,25,26,10487500
2003-05-02 00:00:00+07:00,26,26,25,26,4737500
2003-05-05 00:00:00+07:00,26,26,25,26,40585000
2003-05-06 00:00:00+07:00,26,27,25,27,35530000
2003-05-07 00:00:00+07:00,26,27,25,27,24942500
2003-05-08 00:00:00+07:00,27,27,26,26,50462500
2003-05-09 00:00:00+07:00,25,26,25,26,29232500
2003-05-12 00:00:00+07:00,26,26,25,26,4042500
2003-05-13 00:00:00+07:00,25,26,25,26,10795000
2003-05-14 00:00:00+07:00,25,26,25,26,3315000
2003-05-19 00:00:00+07:00,25,25,25,25,3095000
2003-05-20 00:00:00+07:00,25,26,25,26,3662500
2003-05-21 00:00:00+07:00,25,26,25,26,23497500
2003-05-22 00:00:00+07:00,25,27,25,27,6465000
2003-05-23 00:00:00+07:00,25,27,25,27,27505000
2003-05-26 00:00:00+07:00,25,27,25,27,21327500
2003-05-27 00:00:00+07:00,27,27,25,27,1602500
2003-05-28 00:00:00+07:00,25,27,25,27,39145000
2003-05-29 00:00:00+07:00,27,27,25,27,182500
2003-06-02 00:00:00+07:00,25,27,25,27,15265000
2003-06-03 00:00:00+07:00,27,28,27,28,62967500
2003-06-04 00:00:00+07:00,27,28,27,28,17837500
2003-06-05 00:00:00+07:00,28,28,27,28,21455000
2003-06-06 00:00:00+07:00,27,28,27,28,11445000
2003-06-09 00:00:00+07:00,27,28,27,28,10035000
2003-06-10 00:00:00+07:00,27,28,27,28,4945000
2003-06-11 00:00:00+07:00,27,28,27,28,2097500
2003-06-12 00:00:00+07:00,27,28,27,28,7792500
2003-06-13 00:00:00+07:00,28,28,27,28,807500
2003-06-16 00:00:00+07:00,27,28,27,28,9500000
2003-06-17 00:00:00+07:00,28,28,27,28,10545000
2003-06-18 00:00:00+07:00,27,28,27,28,3580000
2003-06-19 00:00:00+07:00,27,28,27,28,30187500
2003-06-20 00:00:00+07:00,27,28,25,28,14972500
2003-06-23 00:00:00+07:00,27,28,27,28,14185000
2003-06-24 00:00:00+07:00,27,28,27,28,12405000
2003-06-25 00:00:00+07:00,27,28,27,28,1725000
2003-06-26 00:00:00+07:00,27,28,27,28,9650000
2003-06-27 00:00:00+07:00,27,27,25,27,6325000
2003-06-30 00:00:00+07:00,25,28,25,28,18512500
2003-07-01 00:00:00+07:00,25,25,25,25,5387500
2003-07-02 00:00:00+07:00,27,27,27,27,125000
2003-07-03 00:00:00+07:00,24,27,24,27,2540000
2003-07-04 00:00:00+07:00,25,27,25,27,510000
2003-07-07 00:00:00+07:00,25,27,25,27,190000
2003-07-08 00:00:00+07:00,25,27,24,27,18167500
2003-07-09 00:00:00+07:00,27,27,27,27,7175000
2003-07-10 00:00:00+07:00,27,27,25,27,440000
2003-07-11 00:00:00+07:00,25,27,25,27,1410000
2003-07-14 00:00:00+07:00,27,27,25,27,10430000
2003-07-15 00:00:00+07:00,25,27,25,27,275000
2003-07-16 00:00:00+07:00,25,27,25,27,725000
2003-07-17 00:00:00+07:00,25,27,25,27,112500
2003-07-18 00:00:00+07:00,25,27,25,27,1052500
2003-07-21 00:00:00+07:00,25,27,25,27,1552500
2003-07-22 00:00:00+07:00,25,27,25,27,13800000
2003-07-23 00:00:00+07:00,25,27,25,27,5875000
2003-07-24 00:00:00+07:00,25,25,25,25,7552500
2003-07-25 00:00:00+07:00,25,25,24,25,19517500
2003-07-28 00:00:00+07:00,25,25,25,25,10307500
2003-07-29 00:00:00+07:00,25,27,25,27,11752500
2003-07-30 00:00:00+07:00,27,27,25,27,1402500
2003-07-31 00:00:00+07:00,25,27,25,27,11000000
2003-08-01 00:00:00+07:00,25,27,25,27,4475000
2003-08-04 00:00:00+07:00,25,27,25,27,4912500
2003-08-05 00:00:00+07:00,25,25,25,25,8842500
2003-08-06 00:00:00+07:00,24,25,24,25,577500
2003-08-07 00:00:00+07:00,25,25,25,25,4150000
2003-08-08 00:00:00+07:00,24,25,24,25,2025000
