Tahun,Rata-rata Close,Jumlah Dividen,Yield Percentage
2005,480.68987415624986,148.08,30.805724847007305
2006,892.2564873938227,150.05,16.81691331135945
2007,2309.7493021781406,325.58,14.095902083094966
2008,2167.1402800125543,215.23,9.931521368739137
2009,1631.6894639180327,57.46,3.5215034031062715
2010,2413.304928367347,25.38,1.0516698367317434
2011,2666.926514000006,70.71,2.6513666435429886
2012,2246.374689601622,90.99,4.05052640688969
2013,1107.6678361967215,47.09,4.25127447608191
2014,916.7452252540993,9.67,1.0548186926547354
2015,582.6043880612241,,
2016,673.7926829268292,,
2017,711.003937007874,,
2018,813.8697318007663,1.99,0.2445108746822333
2019,900.5232558139535,12.74,1.4147330363483763
2020,791.7603305785124,2.82,0.35616838721125643
2021,2436.1943319838056,16.74,0.6871373018247082
2022,2101.5853658536585,38.74,1.8433702779550865
2023,1938.326359832636,79.5,4.101476492682296
2024,1591.3793103448277,128.07,8.047735644637052
