Tahun,Rata-rata Close,Jumlah Dividen,Yield Percentage
2007,3371.0,,
2008,3914.285714285714,794.0,20.284671532846716
2009,3760.5695652173913,1384.0,36.80293572550874
2010,8180.924369747899,2081.0,25.43722330077142
2011,9708.305439330545,1575.0,16.22322257826086
2012,9137.259414225942,4172.0,45.65920491985319
2013,8214.75720164609,2478.0,30.165225084235637
2014,6710.327800829876,2075.0,30.922483395570953
2015,3615.4549180327867,1397.0,38.63967416748
2016,3319.7510373443984,494.88,14.907141964352673
2017,6585.697478991597,2442.86,37.0934135342951
2018,10112.5125,3260.0,32.23729018876367
2019,7545.8938775510205,2750.0,36.44366120998905
2020,4696.876033057852,877.0,18.67198524779966
2021,8906.595141700405,1385.0,15.550274577043165
2022,21956.32113821138,7168.0,32.64663490244397
2023,24712.453781512606,9076.0,36.726421747684796
2024,25169.45205479452,2975.0,11.819883855728568
