Tahun,Rata-rata Close,Jumlah Dividen,Yield Percentage
2003,26.795833333333334,41.75,155.80780593997824
2004,44.8109243697479,63.8,142.37599624941396
2005,89.8477366255144,87.47,97.35359318462878
2006,170.35390946502056,101.35,59.49379167069282
2007,358.1747967479675,105.39,29.424180862775362
2008,641.7872340425532,164.97,25.704780533085795
2009,712.6083333333333,437.8,61.436272847403316
2010,1148.0448979591836,533.4,46.46159753405079
2011,1283.9016393442623,559.83,43.603807553819045
2012,1152.538775510204,700.48,60.77713087699914
2013,954.7438016528926,720.75,75.49145632076451
2014,846.3471074380166,461.97,54.583987579095385
2015,642.7008196721312,324.57,50.50094695158111
2016,694.6512605042017,289.73,41.70869851869326
2017,966.2118644067797,285.5,29.548384833308482
2018,1710.7210300429185,318.52,18.619049769441894
2019,1516.6926229508197,339.63,22.392803581995985
2020,1191.7416666666666,326.46,27.393520687509177
2021,1476.5425101214576,74.69,5.058438852116499
2022,2487.508130081301,688.51,27.678703505483497
2023,2601.5648535564856,1094.05,42.053535528986416
2024,2749.178082191781,397.71,14.466505555832377
